headline,neg,neu,pos,ticker,date
Microsoft (MSFT) Gets $600 Price Target—Oppenheimer Calls It a Long-Term AI Winner,0.07122272998094559,0.020585525780916214,0.9081918001174927,MSFT,2025-07-16
Investors Heavily Search Microsoft Corporation (MSFT): Here is What You Need to Know,0.029318923130631447,0.027068786323070526,0.9436123371124268,MSFT,2025-07-16
2 Stocks to Buy for the ‘Summer of $4 Trillion’,0.1552886962890625,0.014259046874940395,0.8304523229598999,MSFT,2025-07-16
"MSFT Stock To $1,000?",0.07857049256563187,0.021611418575048447,0.8998180627822876,MSFT,2025-07-16
What’s Happening With MSFT Stock?,0.02264929749071598,0.6230399012565613,0.3543108403682709,MSFT,2025-07-16
Google blames Microsoft for Chrome's recent Windows woes,0.009131738916039467,0.9573330879211426,0.03353511914610863,MSFT,2025-07-16
"Why IONQ, RGTI and QBTS are Worth the Risk in Quantum Computing",0.0500233918428421,0.01958959549665451,0.9303870797157288,MSFT,2025-07-16
Will Microsoft (MSFT) Part Ways With OpenAI?,0.03513195738196373,0.05305517092347145,0.9118128418922424,MSFT,2025-07-16
Spot Outliers Like Hyperscaler Microsoft Early,0.10158026218414307,0.02890802174806595,0.8695117235183716,MSFT,2025-07-16
"Wells Fargo Raises PT on Microsoft (MSFT), Keeps Overweight",0.7769085764884949,0.17170555889606476,0.05138586461544037,MSFT,2025-07-16
Why Overvalued Microsoft Stock (MSFT) is Still a Winner,0.06201969087123871,0.09009981900453568,0.847880482673645,MSFT,2025-07-16
Bernstein SocGen Lifts MSFT Target to $540 on AI-Driven Cloud Outlook,0.9294975996017456,0.019522594287991524,0.0509798526763916,MSFT,2025-07-16
Microsoft Corp (MSFT) Pushing for More Internal AI Adoption,0.11618930846452713,0.013827724382281303,0.8699829578399658,MSFT,2025-07-16
Analyzing Microsoft Corporation’s (MSFT) Strategic Journey in AI Revolution,0.06923575699329376,0.016260653734207153,0.9145035743713379,MSFT,2025-07-16
"OpenAI features designed to compete with Microsoft, Google, The Information says",0.1933412253856659,0.0076629165560007095,0.798995852470398,MSFT,2025-07-16
Bernstein SocGen Lifts MSFT Target to $540 on AI-Driven Cloud Outlook,0.9294975996017456,0.019522594287991524,0.0509798526763916,MSFT,2025-07-16
Evaluating Microsoft Against Peers In Software Industry,0.16376160085201263,0.021687328815460205,0.8145509958267212,MSFT,2025-07-16
Industry Comparison: Evaluating Microsoft Against Competitors In Software Industry,0.20579613745212555,0.013975012116134167,0.780228853225708,MSFT,2025-07-16
Microsoft (MSFT): A Bull Case Theory,0.030089151114225388,0.10905514657497406,0.8608556389808655,MSFT,2025-07-16
Analysts Keep Raising Microsoft Stock Price Targets - Time to Buy?,0.0672827735543251,0.10358698666095734,0.8291302919387817,MSFT,2025-07-16
Microsoft (MSFT) Reassessing $13 Billion OpenAI Partnership Amid AI Power Shifts,0.7174620032310486,0.22717872262001038,0.05535924434661865,MSFT,2025-07-16
DA Davidson Calls Microsoft (MSFT) Its Top Mega-Cap Pick — New $600 Target Set,0.6308189034461975,0.010410626418888569,0.3587704598903656,MSFT,2025-07-16
Microsoft Stock Just Hit a New All-Time High. Should You Buy MSFT Here?,0.11540671437978745,0.0178670771420002,0.8667262196540833,MSFT,2025-07-16
Microsoft’s (MSFT) AI Push Could Be a $100B Business—Wells Fargo Explains,0.08179651945829391,0.010818651877343655,0.9073848724365234,MSFT,2025-07-16
Microsoft Just Launched Its New Mu Language Model. Should You Buy MSFT Stock Here?,0.06458695232868195,0.014177429489791393,0.9212356805801392,MSFT,2025-07-16
Microsoft Corporation (MSFT)’s Next-Gen AI Chip Production Delayed To Next Year: Report,0.03306623920798302,0.08822836726903915,0.8787053227424622,MSFT,2025-07-16
Top Big Data Stocks for Savvy Investors on the Growing Analytics Trend,0.1757156103849411,0.013469493016600609,0.8108148574829102,MSFT,2025-07-16
"Microsoft to conduct another round of layoffs at Xbox division, Bloomberg says",0.007611416280269623,0.9631739854812622,0.029214629903435707,MSFT,2025-07-16
3 Ways To Profit With Big Tech Back In The Driver’s Seat,0.18893073499202728,0.017356934025883675,0.7937123775482178,MSFT,2025-07-16
Meta vs. Nvidia: How to play Mag 7 in the second half of 2025,0.06323952972888947,0.01639469526708126,0.9203658103942871,MSFT,2025-07-16
Microsoft says its AI diagnoses patients more accurately than doctors,0.17198921740055084,0.012864810414612293,0.8151459097862244,MSFT,2025-07-16
"Nvidia, Microsoft, or Alphabet: Which AI Stock Giant Holds the Highest Upside? Analysts Weigh In",0.07086095958948135,0.048841141164302826,0.8802978992462158,MSFT,2025-07-16
"Microsoft Is Cutting 9,000 Jobs in the Latest Round of Layoffs. How Should You Play MSFT Stock Here?",0.010279393754899502,0.9233530759811401,0.06636752188205719,MSFT,2025-07-16
Microsoft (MSFT) Reportedly Plans Thousands of Job Cuts in Sales Teams,0.008034688420593739,0.9693436622619629,0.022621750831604004,MSFT,2025-07-16
Microsoft Stock Is Headed for $4 Trillion. Is It Too Late to Buy MSFT Here?,0.028496231883764267,0.1864555925130844,0.7850481867790222,MSFT,2025-07-16
Nvidia Just Became the First $4 Trillion Company in the World. Should You Buy NVDA Stock?,0.05664529651403427,0.014733728021383286,0.9286209344863892,MSFT,2025-07-16
Microsoft Amends Bylaws to Streamline Shareholder Nominations,0.029802735894918442,0.12541711330413818,0.8447801470756531,MSFT,2025-07-16
Analyst Bullish on Microsoft (MSFT) Amid ‘Widest and Deepest’ Moat,0.7797987461090088,0.10602805018424988,0.11417317390441895,MSFT,2025-07-16
"Datadog is Joining the S&P 500 Index, But is DDOG Stock a Buy on the Breakout?",0.07864774018526077,0.017981022596359253,0.903371274471283,MSFT,2025-07-16
CoreWeave Rules the Unusual Options Activity. But Should It Be in Your Portfolio?,0.025622038170695305,0.05495738610625267,0.919420599937439,MSFT,2025-07-16
Alphabet Is Undervalued. Should You Buy GOOGL Stock Here?,0.0611109584569931,0.01857200637459755,0.9203170537948608,MSFT,2025-07-16
Microsoft (MSFT) Broadens AMD’s Partnership for Next-Gen Xbox Console,0.9432475566864014,0.015445413067936897,0.04130709543824196,MSFT,2025-07-16
Improved Demand for Azure Services Boosted Microsoft (MSFT) in Q2,0.9554933905601501,0.016683101654052734,0.027823511511087418,MSFT,2025-07-16
"Microsoft, Antigen Security Partner to Cut Cyber Insurance Costs",0.8314355611801147,0.061248090118169785,0.10731634497642517,MSFT,2025-07-16
How Microsoft Built a Reliable Dividend Track Record in a Growth-Focused Sector,0.5986825227737427,0.012197969481348991,0.38911956548690796,MSFT,2025-07-16
Microsoft Isn't in the '$4 Trillion Club'—Yet,0.030575037002563477,0.041793763637542725,0.9276311993598938,MSFT,2025-07-16
Microsoft Stock Sets Another Record as Analysts Grow Even More Bullish,0.8700788021087646,0.0619843564927578,0.06793686747550964,MSFT,2025-07-16
WPP Names New CEO as Ad Giant Looks to AI Growth,0.056256480515003204,0.025980528444051743,0.9177629947662354,MSFT,2025-07-16
Microsoft and IBM Hit Record Highs; Analysts See More AI Upside Ahead,0.8900826573371887,0.07172252982854843,0.038194820284843445,MSFT,2025-07-16
"Nvidia (NVDA) Climbs for Fifth Straight Session, Reclaims Top Market Cap Spot",0.8790335059165955,0.06599759310483932,0.054968979209661484,MSFT,2025-07-16
Netflix Expands Programmatic Ad Reach With Yahoo DSP Integration,0.9184489846229553,0.008003247901797295,0.07354781031608582,MSFT,2025-07-16
Equity Prices Rise To Record Levels Even As The Economy Slows,0.905559778213501,0.032636500895023346,0.06180361285805702,MSFT,2025-07-16
"Microsoft Corporation (MSFT): We Don’t Talk About Its War With ChatGPT, Says Jim Cramer",0.04050666093826294,0.03390780836343765,0.9255855679512024,MSFT,2025-07-16
"Wedbush Raises Microsoft Corporation (MSFT)’s Price Target to $600 on Azure, Copilot Potential",0.18433958292007446,0.01278760563582182,0.8028728365898132,MSFT,2025-07-16
Microsoft (MSFT) Just Got a New $530 Target — Here’s What’s Driving It,0.11833424121141434,0.012463492341339588,0.869202196598053,MSFT,2025-07-16
Microsoft (MSFT) Recovered all of its Losses After the Q1 Earnings Report,0.2275824248790741,0.7407639026641846,0.03165373206138611,MSFT,2025-07-16
"Microsoft Corporation (MSFT)’s CFO “Told A Great Story,” Says Jim Cramer",0.893764317035675,0.017113344743847847,0.08912231773138046,MSFT,2025-07-16
"Microsoft Corporation (MSFT) Could Finally Benefit From A Major Catalyst, Says Jim Cramer",0.9123742580413818,0.009496414102613926,0.07812932878732681,MSFT,2025-07-16
Microsoft (MSFT) Gets $540 Price Target as AI and Azure Surge,0.18824203312397003,0.011152585037052631,0.8006054162979126,MSFT,2025-07-16
Microsoft (MSFT) Plans Layoffs in Sales Division as AI Investment Deepens,0.007988492026925087,0.9684767127037048,0.02353481389582157,MSFT,2025-07-16
"Microsoft Corporation (MSFT) Has Had An “Incredible” Run, Says Jim Cramer",0.9229143857955933,0.016079135239124298,0.06100648641586304,MSFT,2025-07-16
"Shell denies deal talks with BP, Micron reports Q3 beat: Morning Buzz",0.06869124621152878,0.07193777710199356,0.8593710064888,MSFT,2025-07-16
Is Apple Looking To Catch Up In AI With Big Deal?,0.2364129275083542,0.012745224870741367,0.7508418560028076,MSFT,2025-07-16
Anti-DEI Firm Postpones Tesla ETF Over Musk Announcement,0.017797714099287987,0.8214385509490967,0.16076363623142242,MSFT,2025-07-16
Microsoft to cut workforce by up to 4% in latest round of layoffs,0.010718082077801228,0.9685871601104736,0.020694725215435028,MSFT,2025-07-16
"After 14 years and 140,000x gains, fortune worth billions surfaces this Fourth of July",0.1571623533964157,0.018007075414061546,0.8248305916786194,MSFT,2025-07-16
"Up Nearly 23% in 2025, Is Meta Platforms Still the Best AI Stock to Buy?",0.2579468786716461,0.00900350883603096,0.7330496311187744,MSFT,2025-07-16
How High Can Nvidia Stock Go as Jensen Huang Heads to China?,0.1194460466504097,0.030217457562685013,0.850336492061615,MSFT,2025-07-16
Why the CEO of the world’s large sovereign wealth fund is worried about rising US debt,0.05794748663902283,0.2006807178258896,0.741371750831604,MSFT,2025-07-16
Rubrik To Acquire Artificial Intelligence Startup In Data Management Push,0.2591037452220917,0.006940023507922888,0.7339562773704529,MSFT,2025-07-16
Day Zero Activities of WeAreDevelopers World Congress tomorrow,0.02279025688767433,0.029839392751455307,0.9473703503608704,MSFT,2025-07-16
"S&P 500 Nears Record High, Dow Jumps as Airline Stocks Take Off",0.39113134145736694,0.3352072238922119,0.27366140484809875,MSFT,2025-07-16
Microsoft's AI Bet Is Paying Off Big,0.8951928019523621,0.04257192835211754,0.06223523989319801,MSFT,2025-07-16
Microsoft's Next Xbox Will Run on AMD; Won't Be Tied to One Store,0.05802099034190178,0.011231107637286186,0.9307479858398438,MSFT,2025-07-16
